metric_id,hub_id,hub_name,hub_type,division,district,region,date,opening_stock,received_quantity,administered_quantity,wasted_quantity,closing_stock,wastage_rate,utilization_rate,footfall,appointment_count,walk_in_count,temperature_avg,humidity_avg,power_outage_hours,day_of_week,is_holiday,weather_condition
7984b296,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-01,3840,21,72,11,3778,13.25,44.44,63,45,18,28.8,77.4,2.2,Thursday,False,Clear
72b8a5a9,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-02,3778,0,79,11,3688,12.22,48.77,74,50,29,25.2,82.8,2.0,Friday,False,Extreme_Heat
c6db7cfd,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-03,3688,0,120,21,3547,14.89,74.07,120,87,25,25.6,72.1,0.0,Saturday,True,Rainy
226a6079,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-04,3547,0,106,14,3427,11.67,65.43,100,71,33,32.3,85.4,0.0,Sunday,True,Clear
94e9b496,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-05,3427,0,90,15,3322,14.29,55.56,82,63,20,25.4,63.6,0.0,Monday,False,Rainy
de4138b9,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-06,3322,959,79,15,4187,15.96,48.77,79,59,27,30.4,65.0,0.0,Tuesday,False,Clear
1b8a44e5,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-07,4187,839,60,9,4957,13.04,37.04,60,42,18,28.8,63.7,0.0,Wednesday,False,Monsoon
0aed5c1d,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-08,4957,0,90,6,4861,6.25,55.56,102,65,29,27.6,84.8,0.2,Thursday,False,Rainy
851cdd70,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-09,4861,0,87,16,4758,15.53,53.7,96,64,18,25.2,80.6,2.5,Friday,False,Monsoon
9b8a8a3a,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-10,4758,0,122,28,4608,18.67,75.31,132,88,42,25.4,88.4,0.0,Saturday,True,Rainy
cb5a7bf3,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-11,4608,0,113,31,4464,21.53,69.75,122,80,39,25.2,76.0,0.0,Sunday,True,Monsoon
f6be0325,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-12,4464,0,137,13,4314,8.67,84.57,157,96,49,33.6,75.0,0.0,Monday,False,Extreme_Heat
323ba648,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-13,4314,0,79,4,4231,4.82,48.77,87,50,22,30.6,87.6,0.0,Tuesday,False,Rainy
c39f2b42,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-14,4231,0,159,22,4050,12.15,98.15,168,103,41,28.8,83.0,2.1,Wednesday,False,Rainy
07f97970,HUB_001,Chittagong Upazila_Health_Complex 1,Upazila_Health_Complex,Chittagong,Chittagong,South,2024-08-15,4050,632,131,18,4533,12.08,80.86,144,81,42,31.2,83.9,0.0,Thursday,False,Rainy
